[33, 7, 32, 17, 5, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[33, 8, 32, 5, 3, 2, 27, 5, 32, 0, 0, 0, 0, 0, 0]
[5, 28, 24, 31, 7, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[24, 5, 23, 11, 3, 2, 23, 0, 0, 0, 0, 0, 0, 0, 0]
[28, 11, 2, 13, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[2, 23, 25, 31, 3, 5, 23, 13, 5, 32, 0, 0, 0, 0, 0]
[2, 23, 32, 24, 5, 13, 17, 2, 7, 23, 32, 0, 0, 0, 0]
[2, 4, 4, 11, 17, 2, 7, 23, 0, 0, 0, 0, 0, 0, 0]
[28, 2, 30, 13, 31, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[28, 23, 3, 1, 31, 31, 29, 0, 0, 0, 0, 0, 0, 0, 0]
[4, 5, 24, 4, 23, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[4, 5, 2, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[33, 29, 19, 30, 3, 31, 2, 13, 0, 0, 0, 0, 0, 0, 0]
[13, 5, 23, 17, 5, 4, 5, 19, 0, 0, 0, 0, 0, 0, 0]
[25, 31, 5, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[29, 5, 1, 4, 31, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[24, 5, 23, 5, 17, 30, 17, 2, 7, 23, 0, 0, 0, 0, 0]
[3, 8, 23, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[13, 7, 23, 27, 2, 13, 17, 2, 7, 23, 0, 0, 0, 0, 0]
[33, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[7, 28, 2, 32, 32, 2, 7, 23, 32, 0, 0, 0, 0, 0, 0]
[3, 4, 17, 2, 23, 11, 32, 0, 0, 0, 0, 0, 0, 0, 0]
[31, 15, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[4, 5, 17, 4, 5, 27, 1, 31, 0, 0, 0, 0, 0, 0, 0]
[35, 3, 1, 31, 2, 17, 2, 5, 32, 0, 0, 0, 0, 0, 0]
[13, 2, 23, 19, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[25, 1, 18, 5, 4, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[14, 4, 11, 2, 23, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[28, 4, 27, 5, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[31, 2, 23, 5, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[24, 4, 7, 17, 7, 17, 29, 24, 5, 0, 0, 0, 0, 0, 0]
[2, 28, 24, 7, 4, 17, 23, 17, 31, 29, 0, 0, 0, 0, 0]
[24, 5, 17, 2, 17, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[1, 24, 24, 30, 17, 3, 32, 0, 0, 0, 0, 0, 0, 0, 0]
[17, 5, 4, 30, 2, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[24, 5, 23, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[5, 15, 24, 31, 2, 23, 2, 23, 11, 0, 0, 0, 0, 0, 0]
[32, 17, 4, 24, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[11, 7, 32, 32, 2, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[30, 23, 11, 5, 4, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[23, 7, 28, 2, 23, 17, 2, 7, 23, 0, 0, 0, 0, 0, 0]
[5, 28, 24, 2, 4, 13, 31, 0, 0, 0, 0, 0, 0, 0, 0]
